V1	count
oskarshamn	1
ottawa	1
p -ameerika	1
pacvaltitt	1
paide	1
paldiski	1
paliu	1
paljakäsi	1
paradis	1
paralcpas	1
parkgatan	1
pass	1
petersburg	1
petrograd	1
peäkonsulaat	1
pihkva	1
pihkva oblast	1
pihtal	1
piin linus	1
piteå	1
plymouth	1
polüneesia	1
prantsiiamaale	1
pulmallste	1
punkte	1
pärnu linn	1
pärnu linn ja maakond	1
põ-hja-ameerika	1
põaja-ameerika	1
põhi-eesti kesk-eesti ja lõuna-eesti	1
põhi-korea	1
põhi-korea f	1
põhjameri inglismaa	1
põhjarootsi	1
põltsamaa	1
põlva maakond	1
qfima	1
r	1
r ombudo	1
r paris	1
rahumäe	1
rap a maakond	1
rapla maakond	1
regiona	1
reinimaa	1
ridala	1
ristna	1
rohuküla	1
roo-s	1
root-	1
rootsi kuningriik	1
rootsi lipp	1
rootsi mažuseettevõtja liit	1
rootsi moskva	1
rootsi-soome	1
rosenbad	1
råstadis	1
rönneberga	1
s maja	1
saare maakond	1
sakala	1
saksamaa po	1
samboris	1
sandvikeni	1
saurerkand	1
savonlinn	1
savonllnna	1
savorlinn	1
schweiz	1
schwerin	1
seadma	1
semper	1
sfaveitsi saksa	1
sfcaa	1
shveits	1
sida	1
sigari ar-ae ä	1
sijarnkolm	1
sillamäe o -idremmmn	1
sim	1
sirgala	1
skandinaavia riik	1
skansen	1
skaotuk	1
smolensk	1
snellmani	1
sobtšakl ia leningrad	1
soome laht	1
soome-eesti	1
soomeeesti	1
soonta vald	1
spångast	1
staiiis	1
stalia	1
stalin-hitler	1
stalin-hruštäov	1
steinbockide ja balti ungernsternbergiõe	1
stockholm eesti	1
stockholm n liit	1
stoekholm-tallinn	1
stokhoimis	1
stokholfflis	1
stokholmi ja eskilstuna	1
stokholmis küla	1
sudaan	1
sudburys	1
suja	1
suur-serbia	1
suurantillid saar	1
suurupis	1
svul o	1
sõrdarja	1
sõrve	1
taara	1
tadaeesti vabariik	1
taebla	1
tahkuranna	1
tailmna	1
talhrra	1
tali-	1
tall	1
tallink	1
tallinn balti	1
tallinn laht	1
tallinn linn	1
tallinn plaan	1
tallinn prantsuse	1
tallinn venemaa	1
tallinn vi-	1
tammikus	1
tampere	1
tanapaeval	1
tarrasas	1
tartu ja tartumaa	1
tartu maarja	1
tartu petseri	1
tarvastu	1
tasmaania austra as	1
taškent	1
tbilisi	1
tblisi	1
teatri	1
teie9eed	1
tenerifel	1
texas	1
thorshavn	1
tisvaheu	1
tomingal	1
tori	1
trondheim	1
tsehhoslovakkias	1
tshehhoslovakkiä	1
turkmeenia ja karakalpak	1
tähtvere k	1
türgi	1
türi	1
türisalu	1
tšehhi ja slovaki	1
tšehhist	1
tšehhoslovaldrias	1
tšiili	1
u	1
u c	1
udria küla	1
ufa	1
uga- j la	1
unga	1
ungru	1
upsalas	1
urama	1
us	1
usa eesti	1
usa iseseisvuspäev	1
usbek	1
usm	1
uural	1
uvdri	1
va	1
vaba-eesti	1
vahemeri	1
vaikses ookean	1
vaiparaisos	1
vaivara	1
valga maakond	1
valgevenemas	1
valima- eesti	1
valima-esi fl	1
vana-andres	1
vanalinn	1
vara	1
varbla	1
vargamäe	1
vatikan	1
veae föderatsioon	1
vene föderaalne sotsialistlik vabariik	1
vene föderatuwabariiei	1
vene keisririik	1
vfsu	1
vihjama	1
vihula vald	1
viimsi	1
vilima-	1
viljan-	1
viljandi järv	1
viljandimaa	1
vilni-	1
viru-jaagup	1
vladivostok	1
vxlis-eesti	1
väbdras	1
välis-eestip för	1
värmland	1
västeråsi	1
võru g	1
võsu ja saaremaa	1
was k	1
washingto	1
waterloos	1
xliit	1
y älis-eesii	1
yanisatsiooit	1
zemya h	1
äfillal	1
õjkoguge	1
õues	1
öldis	1
östenp undeni	1
üdski	1
šotimaa	1
